observation_date,EPUTRADE
2008-12-01,35.952156642662295
2009-01-01,45.713820281257135
2009-02-01,44.198557243408651
2009-03-01,59.439646316419058
2009-04-01,14.439136333031447
2009-05-01,18.718312628337785
2009-06-01,42.783234917337353
2009-07-01,19.639773964288775
2009-08-01,26.623233008836340
2009-09-01,10.564281322431556
2009-10-01,13.894024074629032
2009-11-01,25.449413166983327
2009-12-01,23.416495511303086
2010-01-01,88.894792611273900
2010-02-01,25.569344426017182
2010-03-01,49.982705168375155
2010-04-01,17.375581406492888
2010-05-01,57.623352667808483
2010-06-01,47.270356971825557
2010-07-01,53.776313106573561
2010-08-01,72.221640560514658
2010-09-01,60.649333845522875
2010-10-01,119.903237455963961
2010-11-01,69.206822540827119
2010-12-01,77.957110448288020
2011-01-01,86.634817998188709
2011-02-01,31.931584788140572
2011-03-01,64.001424564539533
2011-04-01,27.715049774084878
2011-05-01,27.715049774084878
2011-06-01,118.549313312805978
2011-07-01,74.266387344939119
2011-08-01,66.370824308267231
2011-09-01,178.587563612236124
2011-10-01,113.822794942726077
2011-11-01,43.317408999094354
2011-12-01,52.831693156775522
2012-01-01,102.960796066876526
2012-02-01,25.403260083849581
2012-03-01,27.313968995357421
2012-04-01,46.408485105579082
2012-05-01,18.787447670363040
2012-06-01,34.211480362223071
2012-07-01,50.939261490537859
2012-08-01,43.686110202905361
2012-09-01,59.662305424458609
2012-10-01,82.021743515851313
2012-11-01,11.236362837973918
2012-12-01,34.212079441899384
2013-01-01,20.046114115274062
2013-02-01,35.527041854462531
2013-03-01,28.561545810500078
2013-04-01,32.310760296380579
2013-05-01,22.428136934527306
2013-06-01,57.178886153337395
2013-07-01,52.832339873413282
2013-08-01,33.213236401457088
2013-09-01,84.692455265030105
2013-10-01,15.591422089657602
2013-11-01,26.842532838186841
2013-12-01,17.871691450547395
2014-01-01,42.482418865161705
2014-02-01,185.267663447043049
2014-03-01,167.873078292280297
2014-04-01,28.513070358116867
2014-05-01,18.718433170225730
2014-06-01,15.211177617445864
2014-07-01,30.181343928875322
2014-08-01,22.494738419751567
2014-09-01,12.235210916437390
2014-10-01,15.874345147508269
2014-11-01,22.607562030003525
2014-12-01,17.736289985488977
2015-01-01,33.807758487838441
2015-02-01,15.410779413270784
2015-03-01,27.907613119190280
2015-04-01,41.600502610924494
2015-05-01,88.919860181450900
2015-06-01,100.803035560815161
2015-07-01,51.492819678262784
2015-08-01,20.829575502112576
2015-09-01,19.609640231423501
2015-10-01,68.608963352999012
2015-11-01,20.503121626281946
2015-12-01,20.475545821354942
2016-01-01,42.781122645061046
2016-02-01,26.272141839100374
2016-03-01,49.187943138521874
2016-04-01,42.923388368010656
2016-05-01,76.848017114656813
2016-06-01,271.072461776223690
2016-07-01,116.302636619259559
2016-08-01,155.274314988387829
2016-09-01,93.079444235359503
2016-10-01,83.538371339557074
2016-11-01,540.418701288193915
2016-12-01,275.120172611530336
2017-01-01,474.802706980803180
2017-02-01,250.133093156418710
2017-03-01,151.943120836103390
2017-04-01,153.350114777602357
2017-05-01,87.267511157505794
2017-06-01,86.858279332214650
2017-07-01,92.143454837233946
2017-08-01,91.351066874105086
2017-09-01,76.291078252926809
2017-10-01,96.872971375518702
2017-11-01,49.481161423335891
2017-12-01,182.299721819117906
2018-01-01,247.786818392198285
2018-02-01,69.094741880130613
2018-03-01,524.651863657700119
2018-04-01,463.180653392348006
2018-05-01,283.083821117579191
2018-06-01,688.399637995754574
2018-07-01,904.719141042393971
2018-08-01,469.292947668578108
2018-09-01,323.391190251698333
2018-10-01,443.230302810788089
2018-11-01,403.077493193304747
2018-12-01,681.871889207119125
2019-01-01,715.620232508687309
2019-02-01,307.092721364200429
2019-03-01,287.665346266354220
2019-04-01,335.674989736600537
2019-05-01,786.542093038191979
2019-06-01,1374.280097927615543
2019-07-01,600.788229099928117
2019-08-01,1946.682999792648843
2019-09-01,919.115347032799718
2019-10-01,842.413192025966737
2019-11-01,597.617851702981625
2019-12-01,851.976262883099821
2020-01-01,646.818151543353224
2020-02-01,462.982323421724743
2020-03-01,194.828347300386127
2020-04-01,239.932831948863679
2020-05-01,161.476941597811248
2020-06-01,57.086247228716886
2020-07-01,89.809960658400101
2020-08-01,150.931402791988120
2020-09-01,96.581922214806738
2020-10-01,331.196254454603775
2020-11-01,204.608344434097774
2020-12-01,123.584021115580882
2021-01-01,72.345173252029838
2021-02-01,52.348352128865294
2021-03-01,47.673847749396302
2021-04-01,72.419087455502108
2021-05-01,42.693271334351749
2021-06-01,40.750572804672721
2021-07-01,20.807926116076317
2021-08-01,31.874577466506441
2021-09-01,7.672618433579734
2021-10-01,40.942714573602061
2021-11-01,53.022958656656016
2021-12-01,24.930457398068562
2022-01-01,37.457076751663720
2022-02-01,113.831213709573362
2022-03-01,70.311721013902741
2022-04-01,44.537893575411786
2022-05-01,78.178057814442212
2022-06-01,97.342332463588605
2022-07-01,71.545074087536392
2022-08-01,150.492302335683831
2022-09-01,50.425833021947966
2022-10-01,92.840876451409855
2022-11-01,81.308891572777497
2022-12-01,16.205068934524409
2023-01-01,100.532368871530977
2023-02-01,26.532556240330987
2023-03-01,85.592664827516003
2023-04-01,46.173312643995239
2023-05-01,90.058278379250254
2023-06-01,45.437647365036085
2023-07-01,6.467276665375605
2023-08-01,31.831325105956555
2023-09-01,25.785838535037080
2023-10-01,33.341331309603483
2023-11-01,17.446394997803360
2023-12-01,18.736143852639124
2024-01-01,45.161412087231298
2024-02-01,220.067770174277427
2024-03-01,44.783825960127047
2024-04-01,46.127965750226871
2024-05-01,128.796000854574856
2024-06-01,66.368619498503108
2024-07-01,161.212801240805874
2024-08-01,221.591759224253991
2024-09-01,94.884039496721584
2024-10-01,194.756136868195853
2024-11-01,1401.679549594961145
2024-12-01,1319.005943955015937
2025-01-01,1725.709653866176495
2025-02-01,2583.898793046654191
2025-03-01,5912.107656695927290
2025-04-01,7955.646982441329783
2025-05-01,5780.037065701709253
2025-06-01,3537.469868426475387
2025-07-01,3371.643927258447093
2025-08-01,2727.153606808994482
2025-09-01,3767.431290357118996
2025-10-01,2558.279878945819746
2025-11-01,3178.668739954851389
2025-12-01,3115.980628609660471
2026-01-01,2244.096086150248539
2026-02-01,3051.599586667265612
2026-03-01,2185.588363106722682
